rank,name,year,rating,budget
1,The Shawshank Redemption,1994,9.3,25000000
2,The Godfather,1972,9.2,6000000
3,The Dark Knight,2008,9.0,185000000
4,The Godfather Part II,1974,9.0,13000000
5,12 Angry Men,1957,9.0,350000
6,Schindler's List,1993,9.0,22000000
7,The Lord of the Rings: The Return of the King,2003,9.0,94000000
8,Pulp Fiction,1994,8.9,8000000
9,The Lord of the Rings: The Fellowship of the Ring,2001,8.8,93000000
10,The Good the Bad and the Ugly,1966,8.8,1200000
11,Forrest Gump,1994,8.8,55000000
12,Fight Club,1999,8.8,63000000
13,The Lord of the Rings: The Two Towers,2002,8.8,94000000
14,Inception,2010,8.8,160000000
15,Star Wars: Episode V - The Empire Strikes Back,1980,8.7,18000000
16,The Matrix,1999,8.7,63000000
17,Goodfellas,1990,8.7,25000000
18,One Flew Over the Cuckoo's Nest,1975,8.7,3000000
19,Se7en,1995,8.6,33000000
20,Seven Samurai,1954,8.6,125000000
21,It's a Wonderful Life,1946,8.6,3180000
22,The Silence of the Lambs,1991,8.6,19000000
23,City of God,2002,8.6,$3300000
24,Saving Private Ryan,1998,8.6,70000000
25,Interstellar,2014,8.6,165000000
26,Life Is Beautiful,1997,8.6,20000000
27,The Green Mile,1999,8.6,60000000
28,Star Wars: Episode IV - A New Hope,1977,8.6,11000000
29,Terminator 2: Judgment Day,1991,8.6,102000000
30,Back to the Future,1985,8.5,19000000
31,Spirited Away,2001,8.6,19000000
32,The Pianist,2002,8.5,35000000
33,Psycho,1960,8.5,806947
34,Parasite,2019,8.5,11400000
35,Léon: The Professional,1994,8.5,115000000
36,The Lion King,1994,8.5,45000000
37,Gladiator,2000,8.5,103000000
38,American History X,1998,8.5,20000000
39,The Departed,2006,8.5,90000000
40,The Usual Suspects,1995,8.5,6000000
